polygon_id,source_json,photo_year,classIndex,label_ja,n_vertices,px_surviving
47,IMG_8298.json,2021,2,その他植生,19,1994
48,IMG_8298.json,2021,2,その他植生,23,2671
49,IMG_8298.json,2021,2,その他植生,9,837
50,IMG_8298.json,2021,2,その他植生,17,617
51,IMG_8298.json,2021,1,ササ,25,1552
52,IMG_8298.json,2021,1,ササ,15,769
53,IMG_8298.json,2021,1,ササ,7,210
54,IMG_8298.json,2021,1,ササ,7,258
55,IMG_8298.json,2021,1,ササ,7,163
56,IMG_8298.json,2021,1,ササ,6,116
57,IMG_8298.json,2021,7,ハイマツ,4,52
58,IMG_8298.json,2021,7,ハイマツ,6,106
59,IMG_8298.json,2021,7,ハイマツ,6,193
60,IMG_8298.json,2021,1,ササ,5,166
61,IMG_8298.json,2021,1,ササ,6,125
62,IMG_8298.json,2021,1,ササ,10,167
63,IMG_8298.json,2021,7,ハイマツ,7,168
64,IMG_8298.json,2021,7,ハイマツ,8,66
65,IMG_8298.json,2021,1,ササ,8,158
66,IMG_8298.json,2021,2,その他植生,17,1327
67,IMG_8298.json,2021,1,ササ,8,115
68,IMG_8298.json,2021,7,ハイマツ,7,129
69,IMG_8298.json,2021,7,ハイマツ,6,40
70,IMG_8298.json,2021,3,無植生,11,687
71,IMG_8298.json,2021,3,無植生,16,1436
72,IMG_8298.json,2021,3,無植生,12,298
73,IMG_9304.json,2012,4,ナナカマド,20,855
74,IMG_9304.json,2012,4,ナナカマド,14,543
75,IMG_9304.json,2012,7,ハイマツ,21,301
76,IMG_9304.json,2012,4,ナナカマド,21,872
77,IMG_9304.json,2012,4,ナナカマド,22,677
78,IMG_9304.json,2012,7,ハイマツ,21,1891
79,IMG_9304.json,2012,7,ハイマツ,34,2689
80,_mrd_085_eos_vis_20150912_1205.json,2015,2,その他植生,10,1313
81,_mrd_085_eos_vis_20150912_1205.json,2015,2,その他植生,8,5390
82,_mrd_085_eos_vis_20150912_1205.json,2015,5,ダケカンバ,12,475
83,_mrd_085_eos_vis_20150920_1205.json,2015,6,ミヤマハンノキ,19,1880
84,_mrd_085_eos_vis_20150920_1205.json,2015,4,ナナカマド,9,625
85,_mrd_085_eos_vis_20150920_1205.json,2015,4,ナナカマド,27,2809
86,_mrd_085_eos_vis_20150920_1205.json,2015,5,ダケカンバ,8,750
87,_mrd_085_eos_vis_20150920_1205.json,2015,5,ダケカンバ,11,756
88,_mrd_085_eos_vis_20150920_1205.json,2015,5,ダケカンバ,11,910
89,_mrd_085_eos_vis_20150920_1205.json,2015,5,ダケカンバ,12,544
90,_mrd_085_eos_vis_20150920_1205.json,2015,6,ミヤマハンノキ,28,6036
91,_mrd_085_eos_vis_20150920_1205.json,2015,6,ミヤマハンノキ,18,1713
92,_mrd_085_eos_vis_20150920_1205.json,2015,6,ミヤマハンノキ,15,613
93,_mrd_085_eos_vis_20150920_1205.json,2015,6,ミヤマハンノキ,31,4131
94,_mrd_085_eos_vis_20150920_1205.json,2015,5,ダケカンバ,22,2948
95,_mrd_085_eos_vis_20150920_1205.json,2015,5,ダケカンバ,16,715
96,_mrd_085_eos_vis_20150920_1205.json,2015,2,その他植生,19,8170
97,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,81,4236
98,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,11,1128
99,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,11,692
100,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,33,2129
101,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,26,7107
102,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,28,2919
103,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,32,1372
104,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,29,1002
105,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,24,1658
106,_mrd_085_eos_vis_20150926_1205.json,2015,4,ナナカマド,30,658
107,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,28,1342
108,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,31,515
109,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,11,461
110,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,12,329
111,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,10,162
112,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,16,320
113,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,12,599
114,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,10,9574
115,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,13,4893
116,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,26,2525
117,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,11,706
118,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,12,4772
119,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,19,1306
120,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,15,981
121,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,45,5723
122,_mrd_085_eos_vis_20150926_1205.json,2015,6,ミヤマハンノキ,19,3277
123,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,12,1086
124,_mrd_085_eos_vis_20150926_1205.json,2015,5,ダケカンバ,17,846
125,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,75,6146
126,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,57,7849
127,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,14,1387
128,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,15,815
129,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,58,1475
130,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,44,7413
131,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,60,14976
132,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,58,13610
133,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,15,213
134,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,52,596
135,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,57,10340
136,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,44,2668
137,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,33,7576
138,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,15,730
139,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,27,1761
140,_mrd_085_eos_vis_20151010_1205.json,2015,7,ハイマツ,45,3636
141,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,36,16367
142,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,21,6935
143,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,27,1286
144,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,12,948
145,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,25,2845
146,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,23,620
147,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,31,1550
148,_mrd_085_eos_vis_20151010_1205.json,2015,1,ササ,26,1543
149,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,13,6365
150,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,15,17873
151,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,18,1694
152,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,8,17536
153,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,16,2684
154,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,32,1311
155,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,14,2102
156,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,15,654
157,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,13,955
158,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,42,2077
159,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,17,2698
160,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,9,7217
161,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,9,530
162,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,11,474
163,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,10,2646
164,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,8,1215
165,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,11,1813
166,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,19,2415
167,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,6,1660
168,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,15,2121
169,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,18,871
170,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,9,2129
171,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,4,4553
172,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,6,1849
173,_mrd_085_eos_vis_20151010_1205.json,2015,3,無植生,7,657
174,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,11,4707
175,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,8,1816
176,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,6,6904
177,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,7,1533
178,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,5,1733
179,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,13,1922
180,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,5,4801
181,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,9,6527
182,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,8,5251
183,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,6,639
184,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,9,979
185,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,9,1196
186,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,12,5085
187,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,15,24483
188,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,20,4266
189,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,10,3901
190,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,11,7179
191,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,8,1481
192,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,10,1761
193,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,12,1889
194,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,9,1812
195,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,13,333
196,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,21,519
197,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,29,2443
198,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,15,7594
199,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,16,5552
200,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,19,6232
201,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,10,3012
202,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,7,3426
203,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,15,4640
204,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,11,10130
205,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,7,3512
206,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,8,4355
207,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,16,3450
208,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,12,1030
209,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,23,28308
210,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,54,5515
211,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,10,1142
212,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,73,4392
213,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,16,1003
214,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,19,3979
215,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,30,17569
216,_mrd_085_eos_vis_20151010_1205.json,2015,2,その他植生,16,8046
